"Section","key","English (reference — do not edit)","Khmer (edit here)","Chinese (edit here)","Notes for Claude"
"Blog — dentist talks","dentistTalks.videos.playlistLink","View Full Playlist on YouTube","មើលបញ្ជីចាក់ផ្លាយពេញលេញនៅ YouTube","在 YouTube 上查看完整播放列表",""
"Blog — dentist talks","dentistTalks.whyMatter.heading","Why These Talks Matter","ហេតុអ្វីការសន្ទនាទាំងនេះមានសារៈសំខាន់","这些谈话为何重要",""
"Blog — dentist talks","dentistTalks.whyMatter.paragraph","Dental treatment should never feel confusing. Our goal is to give patients clear, reliable information from experienced dentists, so they can feel confident about their care. These videos are especially helpful for patients who want to understand their treatment before visiting Roomchang, including local patients, international patients, and families planning dental care in Phnom Penh.","ការព្យាបាលធ្មេញមិនគួរធ្វើឱ្យអ្នកមានការច្របូកច្របល់ឡើយ។ គោលដៅរបស់យើងគឺផ្តល់ឱ្យអ្នកជំងឺនូវព័ត៌មានច្បាស់លាស់ និងអាចទុកចិត្តបានពីទន្តបណ្ឌិតដែលមានបទពិសោធន៍ ដើម្បីឱ្យពួកគាត់មានទំនុកចិត្តចំពោះការថែទាំរបស់ខ្លួន។ វីដេអូទាំងនេះមានប្រយោជន៍ជាពិសេសសម្រាប់អ្នកជំងឺដែលចង់យល់អំពីការព្យាបាលរបស់ខ្លួនមុនពេលមក Roomchang រួមមានអ្នកជំងឺក្នុងស្រុក អ្នកជំងឺអន្តរជាតិ និងគ្រួសារដែលកំពុងរៀបចំការថែទាំធ្មេញនៅភ្នំពេញ។","牙科治疗不应让人感到困惑。我们的目标是为患者提供来自资深医生的清晰、可靠的信息，让他们对自己的诊疗充满信心。这些视频对希望在前往 Roomchang 之前了解治疗的患者尤其有帮助，包括本地患者、国际患者，以及计划在金边接受牙科护理的家庭。",""
"Blog — FAQ","faqPage.backLink","Education Blog","ប្លុកអប់រំ","教育博客",""
"Blog — FAQ","faqPage.cta.body","Our team is happy to help — reach out anytime.","ក្រុមការងាររបស់យើងរីករាយក្នុងការជួយ — អាចទាក់ទងមកយើងបានគ្រប់ពេល។","我们的团队乐意为您提供帮助 — 随时与我们联系。",""
"Blog — FAQ","faqPage.cta.button","Contact Us","ទាក់ទងមកយើង","联系我们",""
"Blog — FAQ","faqPage.cta.heading","Still have questions?","នៅតែមានសំណួរមែនទេ?","还有疑问吗？",""
"Blog — FAQ","faqPage.emptyState","FAQs are being prepared. Please check back soon.","សំណួរដែលសួរញឹកញាប់កំពុងត្រូវបានរៀបចំ។ សូមត្រឡប់មកមើលម្ដងទៀតក្នុងពេលឆាប់ៗនេះ។","常见问题正在整理中，请稍后再来查看。",""
"Blog — FAQ","faqPage.heading","Frequently Asked Questions","សំណួរដែលសួរញឹកញាប់","常见问题",""
"Blog — FAQ","faqPage.intro","Answers to the most common questions about dental care, treatments, costs, and what to expect at Roomchang.","ចម្លើយចំពោះសំណួរទូទៅបំផុតអំពីការថែទាំធ្មេញ ការព្យាបាល តម្លៃ និងអ្វីដែលអ្នកត្រូវរំពឹងទុកនៅ Roomchang។","关于牙齿护理、治疗、费用以及在 Roomchang 就诊体验等最常见问题的解答。",""
"Blog — FAQ","faqPage.staticFaqs.xrayPregnancy.answer","It is not necessary to wait after an x-ray before preparing for pregnancy. Dental x-ray is usually safe, even for emergency treatments during pregnancy. However, it is better if the patient takes it to detect any dental problems before preparing for pregnancy. Should a problem be detected, the treatment should be done in advance of pregnancy.","មិនចាំបាច់រង់ចាំបន្ទាប់ពីថតកាំរស្មីអ៊ិច (x-ray) មុនពេលរៀបចំសម្រាប់ការមានផ្ទៃពោះនោះទេ។ ការថតកាំរស្មីអ៊ិចធ្មេញជាទូទៅមានសុវត្ថិភាព សូម្បីតែសម្រាប់ការព្យាបាលជាបន្ទាន់ក្នុងអំឡុងពេលមានផ្ទៃពោះក៏ដោយ។ ទោះជាយ៉ាងណា វាជាការប្រសើរប្រសិនបើអ្នកជំងឺថតវាដើម្បីរកមើលបញ្ហាធ្មេញណាមួយ មុនពេលរៀបចំសម្រាប់ការមានផ្ទៃពោះ។ ប្រសិនបើរកឃើញបញ្ហា ការព្យាបាលគួរត្រូវធ្វើឡើងជាមុនមុនពេលមានផ្ទៃពោះ។","拍摄 X 光后无需等待即可开始备孕。牙科 X 光通常是安全的，即使在孕期接受紧急治疗时也是如此。不过，患者最好在备孕前先拍摄 X 光，以便检查是否存在任何牙齿问题。若发现问题，应在怀孕之前先完成治疗。",""
"Blog — FAQ","faqPage.staticFaqs.xrayPregnancy.category","Overall Health","សុខភាពទូទៅ","整体健康",""
"Blog — FAQ","faqPage.staticFaqs.xrayPregnancy.question","How long should you wait after getting an x-ray before starting preparations for pregnancy?","តើអ្នកគួររង់ចាំរយៈពេលប៉ុន្មានបន្ទាប់ពីថតកាំរស្មីអ៊ិច (x-ray) មុនពេលចាប់ផ្ដើមរៀបចំសម្រាប់ការមានផ្ទៃពោះ?","拍摄 X 光后需要等待多久才能开始备孕？",""
"Blog — index","blogIndex.browse","Browse","មើល","浏览",""
"Blog — index","blogIndex.hero.description","Dental health education from our specialist team — frequently asked questions, expert talks, and published research.","ការអប់រំសុខភាពមាត់ធ្មេញពីក្រុមអ្នកជំនាញរបស់យើង — សំណួរចម្លើយញឹកញាប់ បទសម្ភាសន៍ពីអ្នកជំនាញ និងការស្រាវជ្រាវដែលបានបោះពុម្ពផ្សាយ។","由我们的专科团队提供的口腔健康教育——常见问题、专家访谈与已发表的研究成果。",""
"Blog — index","blogIndex.hero.eyebrow","Learn","ស្វែងយល់","学习",""
"Blog — index","blogIndex.hero.title","Education Blog","អប់រំសុខភាពមាត់ធ្មេញ","口腔健康科普",""
"Blog — index","blogIndex.sections.dentistTalks.description","Watch our specialist dentists explain common dental concerns, treatment options, and modern technologies in short, informative videos.","ទស្សនាទន្តបណ្ឌិតជំនាញរបស់យើងពន្យល់អំពីបញ្ហាធ្មេញទូទៅ ជម្រើសនៃការព្យាបាល និងបច្ចេកវិទ្យាទំនើបៗ ក្នុងវីដេអូខ្លីៗដ៏មានព័ត៌មាន។","观看我们的专科医生在简短而实用的视频中讲解常见的口腔问题、治疗方案与现代技术。",""
"Blog — index","blogIndex.sections.dentistTalks.title","Dentist Talks","បទសម្ភាសន៍ទន្តបណ្ឌិត","医生访谈",""
"Blog — index","blogIndex.sections.faq.description","Answers to the most common questions about dental treatments, costs, and what to expect at Roomchang.","ចម្លើយចំពោះសំណួរញឹកញាប់បំផុតអំពីការព្យាបាលធ្មេញ តម្លៃ និងអ្វីដែលអ្នកអាចរំពឹងទុកនៅ Roomchang។","解答关于牙科治疗、费用以及在 Roomchang 就诊体验的常见问题。",""
"Blog — index","blogIndex.sections.faq.title","FAQ","សំណួរចម្លើយញឹកញាប់","常见问题",""
"Blog — index","blogIndex.sections.publications.description","Peer-reviewed research papers and clinical studies published by Roomchang dentists, advancing evidence-based care.","ឯកសារស្រាវជ្រាវ និងការសិក្សាគ្លីនិកដែលបានពិនិត្យដោយអ្នកជំនាញ និងបោះពុម្ពផ្សាយដោយទន្តបណ្ឌិត Roomchang ដើម្បីលើកកម្ពស់ការថែទាំផ្អែកលើភស្តុតាង។","由 Roomchang 医生发表的同行评审研究论文与临床研究，推动循证医疗的发展。",""
"Blog — index","blogIndex.sections.publications.title","Publications & Research","ការបោះពុម្ពផ្សាយ និងការស្រាវជ្រាវ","学术发表与研究",""
